168356;4307413;Kyle Tran;380;432.98;57.38;май.76;28.8.24;20.5.24;Direct
562621;9602445;Joshua Silva;918;973.17;39.81;апр.21;1.10.24;20.8.24;Agent
545364;8035023;Jacqueline Ortega;134;52.57;72.92;0.55;2.10.24;4.5.24;Online
194743;7423291;Carl Davenport;460;963.55;дек.46;44.58;13.10.24;17.1.24;Online
218413;2656093;William Kirby;373;79.81;13.19;30.66;3.1.24;4.10.24;Direct
246041;1585460;Tonya Garcia;544;686.18;49.88;16.35;13.4.24;11.5.24;Direct
680277;6035909;Kelly Munoz;824;733.63;июль.67;40.35;4.12.23;23.9.24;Online
343442;9281987;Cassandra Williams;556;554.82;72.53;36.97;12.6.24;18.12.23;Online
603389;2955043;Raymond Cooper;200;330.4;71.94;нояб.13;15.5.24;19.4.24;Agent
171120;5749808;Sarah Peters;436;174.99;47.01;20.39;10.1.24;30.12.23;Agent
838304;2352834;Justin Morgan;159;363.18;62.64;16.87;4.11.24;31.3.24;Direct
431763;2802274;Lucas Price;941;637.57;93.03;35.25;16.4.24;20.10.24;Direct
265095;3821206;Robert Jones;717;98.29;88.43;февр.55;21.12.23;6.5.24;Agent
273009;7205511;Leon Lynch;28;76.31;67.4;июнь.94;7.11.24;23.6.24;Direct
229312;8817839;Daniel Chen;755;112.86;90.99;29.май;22.1.24;4.3.24;Direct
205601;7296979;John Garrett;87;71.29;52.95;май.53;14.3.24;10.7.24;Agent
798072;8749035;Patricia Owens;128;477.65;71.74;26.31;6.1.24;29.12.23;Direct
276994;6887211;Katie Burke;886;621.95;30.78;май.24;9.1.24;20.2.24;Agent
624700;4689250;Kathleen Huffman;513;391.13;янв.85;37.44;22.12.23;13.7.24;Agent
947179;9562358;Catherine Long;344;97.62;22.67;48.43;9.8.24;19.4.24;Online
588790;3156218;Catherine Nelson;963;600.26;7.0;15.62;25.1.24;4.5.24;Direct
594371;3772240;Elizabeth Taylor;296;622.06;31.63;48.54;10.11.24;3.7.24;Agent
346118;4551171;Tim Williamson;608;937.02;5.янв;33.75;14.2.24;28.1.24;Online
138955;5104865;Kelly Blair;198;февр.88;96.13;июль.33;13.5.24;24.10.24;Agent
265729;4000884;Timothy Medina;684;291.65;61.14;0.42;1.10.24;16.9.24;Direct
805449;3804985;Robert Powers;599;16.74;48.54;25.март;16.2.24;24.12.23;Agent
227058;3042209;Aaron Adams;524;815.64;47.84;41.23;14.7.24;5.5.24;Online
417430;9849448;Jennifer Howell;166;93.93;94.41;16.21;16.4.24;31.10.24;Online
799355;2610839;Samuel Miller;667;596.58;78.16;сент.74;2.5.24;29.6.24;Agent
994740;4175755;Patrick Wise;578;412.8;57.3;4.июль;14.4.24;31.12.23;Direct
939442;3171911;Brian Petersen;627;266.31;37.57;май.34;8.11.24;23.4.24;Online
107636;3415843;Madison Sharp;732;502.07;38.28;47.45;13.11.24;4.10.24;Agent
133468;8940821;Justin Brock;364;835.68;47.55;37.41;17.2.24;8.1.24;Online
163148;7192009;Laurie Chapman;510;853.79;июнь.75;34.52;8.1.24;29.1.24;Online
393881;1346803;Brandon Hudson;547;91.4;июль.69;4.янв;12.7.24;8.10.24;Direct
597256;1459123;Kathryn Smith;872;252.34;51.8;30.62;8.10.24;19.5.24;Agent
644663;8415310;Patrick Miller;882;394.85;81.28;35.78;22.4.24;3.2.24;Direct
235351;4359041;David Butler;23;54.81;87.35;авг.17;24.7.24;24.2.24;Agent
106701;4052241;David Johnson;625;960.25;51.43;46.52;11.8.24;16.2.24;Direct
941625;5441350;Nathaniel York;370;791.65;51.12;42.06;5.2.24;18.7.24;Direct
944475;5027198;Heather Lamb;949;974.01;34.64;16.янв;25.9.24;11.5.24;Online
706172;8009475;William Lawson;973;590.01;66.59;29.сент;26.11.24;23.9.24;Online
242464;3553289;Michael Mcdaniel;224;591.41;85.34;23.79;22.1.24;9.5.24;Direct
896831;4803795;Seth Keller;920;350.41;80.31;9.март;31.12.23;13.11.24;Online
287936;7838343;Brenda Walls MD;918;33.29;99.11;39.75;20.1.24;10.12.23;Agent
614204;6105357;David Gonzalez;371;982.47;февр.22;дек.71;12.12.23;5.9.24;Direct
461907;4277320;Peter Mendoza;443;246.22;58.72;17.66;21.10.24;19.9.24;Direct
989485;7211859;Stephanie Valdez;652;213.25;99.72;30.91;19.6.24;9.4.24;Direct
973474;5437927;Daniel Jensen;197;16.авг;84.59;31.86;26.9.24;11.8.24;Online
588041;4482315;Crystal Carpenter;413;986.56;53.82;42.57;9.3.24;26.3.24;Online
177887;7848902;Crystal Mcdaniel;357;78.78;73.43;35.61;29.6.24;16.12.23;Online
851480;7262225;David Solomon;90;181.56;56.89;20.авг;14.12.23;5.8.24;Direct
325632;3229851;Michael Moreno;43;778.88;48.76;0.06;6.7.24;10.7.24;Agent
676794;9451563;Mark Gordon;457;301.46;69.98;42.09;29.10.24;28.8.24;Direct
709395;9372377;Christopher Black;17;375.32;56.67;42.39;14.3.24;3.8.24;Direct
942901;8756286;Julie Smith;788;860.8;51.15;47.61;18.6.24;27.1.24;Agent
897086;6588576;Charles Cochran;612;269.86;35.74;19.97;27.4.24;2.3.24;Direct
454447;8636246;Peggy Smith;942;87.35;92.37;апр.33;18.9.24;7.4.24;Direct
168255;2617473;Aaron Bright;307;819.38;42.45;47.13;9.10.24;16.8.24;Agent
253353;1508156;Donald Patterson;194;212.81;90.51;дек.53;10.9.24;20.5.24;Direct
390784;3862038;Jamie Swanson;931;60.86;25.янв;14.66;21.4.24;24.12.23;Agent
853756;1539144;Connie Keith;471;328.0;52.33;21.75;1.12.23;17.6.24;Online
235912;7799912;Tanya Diaz;590;997.13;36.48;32.76;2.5.24;7.3.24;Online
752745;3407744;Jasmine Baker;703;37.37;66.32;сент.17;15.8.24;21.1.24;Online
834134;6308373;Daniel Gillespie;834;438.86;71.8;14.51;27.5.24;2.6.24;Agent
233552;2101841;Larry Adkins;37;701.49;98.33;27.нояб;18.8.24;20.1.24;Direct
740049;9486063;Karen Davis;616;112.17;68.72;авг.35;603;16.7.24;Online
602829;1313007;April Grant;323;93.39;83.9;44.74;13.3.24;9.1.24;Online
338129;1130426;David Hogan;852;19.51;77.04;0.75;18.6.24;15.5.24;Online
375891;4935293;Ian White;23;958.35;19.33;33.16;4.10.24;3.12.23;Direct
907378;1269801;Alyssa Barnett;960;32.28;64.17;1.дек;24.9.24;25.2.24;Direct
286742;1155296;Mrs. Stephanie Mitchell;540;363.89;48.66;13.61;11.9.24;6.12.23;Online
633305;3177713;Donald Harris;15;262.49;27.25;февр.27;22.1.24;21.1.24;Agent
640589;7402509;Matthew Hammond;803;423.87;84.88;сент.51;13.10.24;10.3.24;Direct
558023;7829588;Robert Chavez;570;515.96;март.43;24.48;31.8.24;1.11.24;Agent
933774;7786291;Alexander Jenkins;767;869.82;29.63;13.35;28.1.24;7.1.24;Online
943977;6143452;Patricia Morton;208;836.92;авг.96;33.91;28.1.24;6.1.24;Direct
649064;1627411;Logan Cooper;138;466.25;44.9;15.37;27.11.24;26.2.24;Agent
484488;3292442;Charles Schultz;309;899.31;78.42;20.96;20.7.24;20.1.24;Direct
756412;8532785;Lindsay Cain;93;876.5;18.99;25.67;15.1.24;16.6.24;Agent
721740;7018475;Ruth Rojas;776;99.23;28.59;0.89;2.1.24;24.2.24;Agent
386747;6728562;Karen Dean;409;411.29;78.26;28.89;24.7.24;8.2.24;Agent
898764;1800008;Jenny Mitchell;487;912.39;57.69;33.51;14.5.24;27.5.24;Agent
462907;5158925;David Rodriguez;721;70.17;21.нояб;сент.74;5.4.24;16.9.24;Agent
305352;5433381;Taylor Henson;380;94.41;59.48;май.86;10.11.24;6.7.24;Agent
755528;3680836;Heather Ferguson;194;52.44;36.82;28.июнь;30.8.24;14.12.23;Direct
994547;6810645;Mark Dean;500;37.52;68.63;34.58;23.7.24;29.4.24;Online
314949;1050894;Lisa Marquez;119;988.06;73.36;39.29;26.4.24;3.10.24;Online
590108;5731144;Rebecca Ellis;825;37.07;75.63;нояб.63;16.12.23;18.4.24;Agent
831800;1203772;Andrea Howard;320;980.43;50.06;июль.71;16.12.23;5.2.24;Direct
154496;1824960;Dr. Robin Le;848;376.09;75.71;35.58;8.12.23;3.6.24;Agent
801163;5557155;Michelle Miller;599;90.79;85.76;17.56;23.10.24;21.1.24;Agent
194199;7793297;Nicholas Davis;771;193.21;5.апр;апр.44;1.2.24;11.5.24;Online
401837;5216710;Gregory Black;996;752.05;91.65;15.июнь;10.5.24;17.1.24;Direct
